Subject,Start Time,End Time,Summary,Description,Location,Schedule type
Engineering Orientation,9:00 AM,9:50 AM,Engineering Orientation,ENG 100,,M
University Physics: Elec & Mag,10:00 AM,11:50 AM,University Physics: Elec & Mag,PHYS 212,,M
Introduction to Computing,3:00 PM,3:50 PM,Introduction to Computing,ECE 120,,M
Mythology of Greece and Rome,11:00 AM,11:50 AM,Mythology of Greece and Rome,CLCV 115,,T
Undergraduate Open Seminar,1:00 PM,2:50 PM,Undergraduate Open Seminar,ENG 199,,T
University Physics: Elec & Mag,4:00 PM,4:50 PM,University Physics: Elec & Mag,PHYS 212,,T
Engineering Orientation,9:00 AM,9:50 AM,Engineering Orientation,ENG 100,,W
University Physics: Elec & Mag,10:00 AM,11:50 AM,University Physics: Elec & Mag,PHYS 212,,W
Introduction to Computing,3:00 PM,3:50 PM,Introduction to Computing,ECE 120,,W
Mythology of Greece and Rome,11:00 AM,11:50 AM,Mythology of Greece and Rome,CLCV 115,,R
Introduction to Computing,1:00 PM,1:50 PM,Introduction to Computing,ECE 120,,R
University Physics: Elec & Mag,4:00 PM,4:50 PM,University Physics: Elec & Mag,PHYS 212,,R
Mythology of Greece and Rome,10:00 AM,10:50 AM,Mythology of Greece and Rome,CLCV 115,,F
Introduction to Computing,3:00 PM,3:50 PM,Introduction to Computing,ECE 120,,F